category,action_type,finding,scenario_created,scenario_type,scenario_path,notes
Foundational Security Services,enable_security_hub,SecurityHub.1,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `foundational_controls_gaps` disables Security Hub via CLI local-exec."
Foundational Security Services,enable_guardduty,GuardDuty.1,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `foundational_controls_gaps` removes GuardDuty detectors in the target region via CLI."
Foundational Security Services,aws_config_enabled,Config.1,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `foundational_controls_gaps` singleton-safely ensures recorder/channel exist and stops recorder. If another recorder (for example `default`) remains recording, stop it manually to force non-compliance."
Foundational Security Services,cloudtrail_enabled,CloudTrail.1,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `foundational_controls_gaps` creates a regional-only CloudTrail writing to central audit S3. If an existing compliant multi-region trail exists, disable/delete it manually to force CloudTrail.1 failure."
S3 Public Exposure Controls,s3_block_public_access,S3.1,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` disables account-level S3 Block Public Access."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.2,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` creates public bucket policy + bucket-level PAB disabled."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.3,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Alias finding covered by same public S3 bucket scenario as S3.2."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.8,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Alias finding covered by same public S3 bucket scenario as S3.2."
S3 Public Exposure Controls,s3_bucket_block_public_access,S3.17,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Alias finding covered by same public S3 bucket scenario as S3.2."
S3 Public Exposure Controls,s3_bucket_require_ssl,S3.5,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` sets bucket policy that omits SecureTransport deny."
S3 Data Protection / Ops Hygiene,s3_bucket_encryption,S3.4,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` keeps a bucket without default encryption."
S3 Data Protection / Ops Hygiene,s3_bucket_encryption_kms,S3.15,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` sets SSE-S3 instead of SSE-KMS."
S3 Data Protection / Ops Hygiene,s3_bucket_access_logging,S3.9,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` creates a bucket with server access logging not enabled."
S3 Data Protection / Ops Hygiene,s3_bucket_lifecycle_configuration,S3.11,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` creates a bucket with no lifecycle rules."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.53,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` launches EC2 with SG exposing 22/3389 to internet."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.13,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Alias finding covered by the same open-admin-ports security group on workload EC2."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.19,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Alias finding covered by the same open-admin-ports security group on workload EC2."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.18,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Alias finding covered by the same open-admin-ports security group on workload EC2."
Network / EC2 Perimeter Hardening,ebs_snapshot_block_public_access,EC2.182,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` disables snapshot block public access via EC2 API and makes workload snapshot publicly shareable."
Network / EC2 Perimeter Hardening,ebs_default_encryption,EC2.7,YES,Terraform Bundle (Stack+Module),infrastructure/finding-scenarios/stacks/cspm_insecure_bundle/main.tf,"Module `insecure_workload_stack` disables EBS encryption by default and provisions unencrypted root/data volumes."
IAM Root Credential Hygiene,iam_root_access_key_absent,IAM.4,NO,Not feasible via IaC alone,,"Root access key creation requires interactive root-user credentials and cannot be safely automated via Terraform/CloudFormation."
Inspector Findings,inspector,Inspector vulnerability findings,NO,Not deterministic via IaC alone,,"Requires a live vulnerable package/CVE state and scan timing; IaC can deploy substrate only, not guaranteed stable finding generation."
